name,current_age,position,type,expiration_status,cap_hit_percentage_at_signing,signing_date
Matthew Tkachuk,23,"LW, RW",STANDARD CONTRACT,RFA,8.59,"September 25, 2019"
Matthew Tkachuk,23,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.27,"July  7, 2016"
Johnny Gaudreau,27,LW,STANDARD CONTRACT,UFA,9.25,"October 10, 2016"
Johnny Gaudreau,27,LW,ENTRY-LEVEL CONTRACT,10.2(c),1.44,"April 11, 2014"
Sean Monahan,26,C,STANDARD CONTRACT,UFA,8.73,"August 19, 2016"
Sean Monahan,26,C,ENTRY-LEVEL CONTRACT,RFA,1.44,"July 22, 2013"
Mikael Backlund,32,C,STANDARD CONTRACT (EXTENSION),UFA,7.13,"February 16, 2018"
Mikael Backlund,32,C,ENTRY-LEVEL CONTRACT,RFA,1.74,"May  2, 2008"
Mikael Backlund,32,C,STANDARD CONTRACT,RFA,1.21,"July  5, 2012"
Mikael Backlund,32,C,STANDARD CONTRACT,RFA,2.33,"July 10, 2013"
Mikael Backlund,32,C,STANDARD CONTRACT (EXTENSION),UFA,5.18,"June 20, 2015"
Milan Lucic,33,LW,STANDARD CONTRACT,UFA,8.22,"July  1, 2016"
Milan Lucic,33,LW,ENTRY-LEVEL CONTRACT,RFA,1.23,"August  2, 2007"
Milan Lucic,33,LW,STANDARD CONTRACT (EXTENSION),RFA,7.19,"October  9, 2009"
Milan Lucic,33,LW,STANDARD CONTRACT (EXTENSION),UFA,10.00,"September 15, 2012"
Elias Lindholm,26,"RW, C",STANDARD CONTRACT,UFA,6.10,"July 16, 2018"
Elias Lindholm,26,"RW, C",ENTRY-LEVEL CONTRACT,RFA,1.44,"July 15, 2013"
Elias Lindholm,26,"RW, C",STANDARD CONTRACT (EXTENSION),RFA,3.78,"August 27, 2015"
Derek Ryan,34,"RW, C",STANDARD CONTRACT,UFA,3.93,"July  1, 2018"
Derek Ryan,34,"RW, C",STANDARD CONTRACT (EXTENSION),UFA,0.87,"June 15, 2015"
Derek Ryan,34,"RW, C",STANDARD CONTRACT (EXTENSION),UFA,0.84,"June 16, 2016"
Derek Ryan,34,"RW, C",STANDARD CONTRACT (EXTENSION),UFA,1.90,"June 26, 2017"
Andrew Mangiapane,25,"LW, RW",STANDARD CONTRACT,RFA,2.98,"October 16, 2020"
Andrew Mangiapane,25,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,0.99,"March 23, 2016"
Andrew Mangiapane,25,"LW, RW",STANDARD CONTRACT,RFA,0.88,"September 15, 2019"
Josh Leivo,28,"RW, LW",STANDARD CONTRACT,UFA,1.07,"October 24, 2020"
Josh Leivo,28,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.23,"March  5, 2013"
Josh Leivo,28,"RW, LW",STANDARD CONTRACT,RFA,0.84,"July 21, 2016"
Josh Leivo,28,"RW, LW",STANDARD CONTRACT (EXTENSION),RFA,1.23,"November 17, 2017"
Josh Leivo,28,"RW, LW",STANDARD CONTRACT,UFA,1.84,"July  5, 2019"
Adam Ruzicka,22,"C, RW",ENTRY-LEVEL CONTRACT,RFA,1.01,"April 12, 2019"
Dillon Dubé,22,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.09,"March 24, 2017"
Matthew Phillips,23,C,ENTRY-LEVEL CONTRACT,RFA,0.99,"December 31, 2017"
Byron Froese,30,C,STANDARD CONTRACT,UFA,0.89,"October  9, 2020"
Byron Froese,30,C,ENTRY-LEVEL CONTRACT,RFA,1.01,"May 31, 2011"
Byron Froese,30,C,STANDARD CONTRACT,UFA (Group 6),0.81,"July  3, 2015"
Byron Froese,30,C,STANDARD CONTRACT,UFA,0.87,"July  1, 2017"
Byron Froese,30,C,STANDARD CONTRACT,UFA,0.86,"July  1, 2019"
Buddy Robinson,29,RW,STANDARD CONTRACT,UFA,0.86,"October  9, 2020"
Buddy Robinson,29,RW,ENTRY-LEVEL CONTRACT,RFA,1.44,"May 25, 2013"
Buddy Robinson,29,RW,STANDARD CONTRACT (EXTENSION),UFA (Group 6),1.03,"June 23, 2016"
Buddy Robinson,29,RW,STANDARD CONTRACT,UFA (Group 6),0.87,"July  1, 2017"
Buddy Robinson,29,RW,STANDARD CONTRACT,UFA,0.88,"July  2, 2018"
Brett Ritchie,27,RW,STANDARD CONTRACT,UFA,0.86,"January 17, 2021"
Brett Ritchie,27,RW,ENTRY-LEVEL CONTRACT,RFA,1.41,"July 11, 2012"
Brett Ritchie,27,RW,STANDARD CONTRACT (EXTENSION),RFA,1.23,"June 10, 2016"
Brett Ritchie,27,RW,STANDARD CONTRACT,UFA (No QO),2.33,"July  6, 2017"
Brett Ritchie,27,RW,STANDARD CONTRACT,UFA (No QO),1.23,"July  1, 2019"
Joakim Nordström,29,"LW, RW",STANDARD CONTRACT,UFA,0.86,"October 19, 2020"
Joakim Nordström,29,"LW, RW",ENTRY-LEVEL CONTRACT,RFA,0.96,"May 29, 2012"
Joakim Nordström,29,"LW, RW",STANDARD CONTRACT,RFA,0.85,"September  2, 2015"
Joakim Nordström,29,"LW, RW",STANDARD CONTRACT (EXTENSION),UFA (No QO),1.79,"April 22, 2016"
Joakim Nordström,29,"LW, RW",STANDARD CONTRACT,UFA,1.26,"July  1, 2018"
Glenn Gawdin,24,"C, RW",STANDARD CONTRACT,RFA,0.86,"October 14, 2020"
Glenn Gawdin,24,"C, RW",ENTRY-LEVEL CONTRACT,10.2(c),1.03,"November 16, 2017"
Dominik Simon,26,"RW, LW",STANDARD CONTRACT,RFA,0.86,"October 22, 2020"
Dominik Simon,26,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,0.97,"July 15, 2015"
Dominik Simon,26,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA (No QO),0.94,"June 25, 2018"
Mark Giordano,37,LD,STANDARD CONTRACT (EXTENSION),UFA,9.25,"August 25, 2015"
Mark Giordano,37,LD,STANDARD CONTRACT,UFA,1.57,"July  1, 2008"
Mark Giordano,37,LD,STANDARD CONTRACT (EXTENSION),UFA,6.77,"October 29, 2010"
Noah Hanifin,24,LD,STANDARD CONTRACT,UFA,6.23,"August 30, 2018"
Noah Hanifin,24,LD,ENTRY-LEVEL CONTRACT,RFA,1.30,"July 11, 2015"
Rasmus Andersson,24,RD,STANDARD CONTRACT (EXTENSION),UFA,5.58,"January  8, 2020"
Rasmus Andersson,24,RD,ENTRY-LEVEL CONTRACT,RFA,1.15,"September 14, 2015"
Christopher Tanev,31,RD,STANDARD CONTRACT,UFA,5.52,"October  9, 2020"
Christopher Tanev,31,RD,ENTRY-LEVEL CONTRACT,RFA,1.58,"June  2, 2010"
Christopher Tanev,31,RD,STANDARD CONTRACT,RFA,2.33,"August 22, 2013"
Christopher Tanev,31,RD,STANDARD CONTRACT,RFA,2.90,"July  5, 2014"
Christopher Tanev,31,RD,STANDARD CONTRACT (EXTENSION),UFA,6.45,"March 24, 2015"
Connor Mackey,24,LD,ENTRY-LEVEL CONTRACT,RFA,1.14,"March 20, 2020"
Juuso Välimäki,22,LD,ENTRY-LEVEL CONTRACT,10.2(c),1.19,"July 21, 2017"
Oliver Kylington,24,LD,STANDARD CONTRACT,RFA,0.97,"December 18, 2020"
Oliver Kylington,24,LD,ENTRY-LEVEL CONTRACT,RFA,1.11,"July 15, 2015"
Michael Stone,31,RD,STANDARD CONTRACT,UFA,0.86,"January 18, 2021"
Michael Stone,31,RD,ENTRY-LEVEL CONTRACT,RFA,1.09,"December  9, 2009"
Michael Stone,31,RD,STANDARD CONTRACT,RFA,1.79,"July  5, 2013"
Michael Stone,31,RD,STANDARD CONTRACT,UFA,5.48,"July 28, 2016"
Michael Stone,31,RD,STANDARD CONTRACT (EXTENSION),UFA,4.67,"June 30, 2017"
Michael Stone,31,RD,STANDARD CONTRACT,UFA,0.86,"September 11, 2019"
Nikita Nesterov,28,LD,STANDARD CONTRACT,UFA,0.86,"October 23, 2020"
Nikita Nesterov,28,LD,ENTRY-LEVEL CONTRACT,RFA,1.15,"April 30, 2013"
Nikita Nesterov,28,LD,STANDARD CONTRACT,UFA (No QO),0.99,"September 26, 2016"
Jacob Markström,31,G,STANDARD CONTRACT,UFA,7.36,"October  9, 2020"
Jacob Markström,31,G,ENTRY-LEVEL CONTRACT,RFA,1.54,"May 30, 2010"
Jacob Markström,31,G,STANDARD CONTRACT,RFA,1.87,"July 17, 2013"
Jacob Markström,31,G,STANDARD CONTRACT (EXTENSION),UFA,2.17,"June 29, 2015"
Jacob Markström,31,G,STANDARD CONTRACT (EXTENSION),UFA,5.02,"July  7, 2016"
Louis Domingue,29,G,STANDARD CONTRACT,UFA,0.86,"October 10, 2020"
Louis Domingue,29,G,ENTRY-LEVEL CONTRACT,RFA,0.98,"June  1, 2011"
Louis Domingue,29,G,STANDARD CONTRACT,RFA,0.85,"September  5, 2015"
Louis Domingue,29,G,STANDARD CONTRACT (EXTENSION),RFA,1.44,"June 27, 2016"
Louis Domingue,29,G,STANDARD CONTRACT (EXTENSION),UFA,1.45,"June 22, 2018"
Connor McDavid,24,C,STANDARD CONTRACT (EXTENSION),UFA,16.67,"July  5, 2017"
Connor McDavid,24,C,ENTRY-LEVEL CONTRACT,RFA,1.30,"July  3, 2015"
Leon Draisaitl,25,"C, LW, RW",STANDARD CONTRACT,UFA,11.33,"August 16, 2017"
Leon Draisaitl,25,"C, LW, RW",ENTRY-LEVEL CONTRACT,RFA,1.34,"August 12, 2014"
Ryan Nugent-Hopkins,28,"C, LW",STANDARD CONTRACT (EXTENSION),UFA,9.33,"September 19, 2013"
Ryan Nugent-Hopkins,28,"C, LW",ENTRY-LEVEL CONTRACT,RFA,1.44,"July  2, 2011"
James Neal,33,"RW, LW",STANDARD CONTRACT,UFA,7.23,"July  2, 2018"
James Neal,33,"RW, LW",ENTRY-LEVEL CONTRACT,RFA,1.47,"October 20, 2006"
James Neal,33,"RW, LW",STANDARD CONTRACT,RFA,4.84,"September 16, 2010"
James Neal,33,"RW, LW",STANDARD CONTRACT (EXTENSION),UFA,8.33,"February 19, 2012"
Zack Kassian,30,RW,STANDARD CONTRACT (EXTENSION),UFA,3.93,"January 29, 2020"
Zack Kassian,30,RW,ENTRY-LEVEL CONTRACT,RFA,1.52,"November  2, 2010"
Zack Kassian,30,RW,STANDARD CONTRACT,RFA,2.54,"July  4, 2014"
Zack Kassian,30,RW,STANDARD CONTRACT (EXTENSION),RFA,2.05,"May 19, 2016"
Zack Kassian,30,RW,STANDARD CONTRACT (EXTENSION),UFA,2.60,"June 26, 2017"
Alex Chiasson,30,RW,STANDARD CONTRACT,UFA,2.64,"July  1, 2019"
Alex Chiasson,30,RW,ENTRY-LEVEL CONTRACT,RFA,1.44,"April 15, 2012"
Alex Chiasson,30,RW,STANDARD CONTRACT,RFA,1.68,"July 26, 2015"
Alex Chiasson,30,RW,STANDARD CONTRACT (EXTENSION),UFA (No QO),1.10,"June 27, 2016"
