name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Aaron Ness,0.0089,2019-07-01,30.0,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.4,0.0,0.41,0.38,0.0,0.0,0.0
Aaron Ness,0.0087,2018-05-15,28.0,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,2.0,0.36,0.4,0.46,0.41,0.38,0.53,0.0,0.0,0.0
Aaron Ness,0.0084,2016-06-24,27.0,0,1,0,0,1,0.0,0.0,1.0,2.0,0.0,2.0,0.46,0.0,0.46,0.53,0.0,0.47,0.0,0.0,0.0
Aaron Ness,0.008100000000000001,2015-07-01,26.0,0,0,0,0,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.46,0.0,0.0,0.47,0.0,0.0,0.0,0.0
Aaron Ness,0.012,2014-07-11,25.0,0,0,0,0,1,1.0,0.0,0.0,2.0,0.0,0.0,0.46,0.0,0.52,0.47,0.0,0.43,0.0435,0.0435,0.0435
Adam Brooks,0.0089,2020-05-14,24.0,0,0,1,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.52,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0
Adam Erne,0.012199999999999999,2020-10-08,26.0,0,0,0,1,0,2.0,7.0,3.0,3.0,13.0,1.0,0.42,0.53,0.55,0.45,0.49,0.53,0.0317,0.0317,0.0317
Adam Erne,0.0129,2019-08-14,25.0,0,0,0,1,0,7.0,3.0,3.0,13.0,1.0,0.0,0.53,0.55,0.54,0.49,0.53,0.53,0.1,0.1,0.1
Adam Erne,0.0101,2018-07-11,24.0,0,0,0,1,0,3.0,3.0,0.0,1.0,0.0,0.0,0.55,0.54,0.0,0.53,0.53,0.0,0.1034,0.1034,0.1034
Adam Gaudette,0.011699999999999999,2020-10-19,24.0,0,0,1,0,0,13.0,5.0,0.0,20.0,7.0,0.0,0.53,0.44,0.54,0.51,0.51,0.5,0.1711,0.1711,0.1711
Adam Henrique,0.0733,2018-07-16,29.0,1,1,1,0,0,24.0,20.0,30.0,26.0,20.0,20.0,0.53,0.46,0.49,0.51,0.47,0.46,0.1589,0.1589,0.1589
Adam Henrique,0.0622,2013-08-27,24.0,0,1,1,0,0,11.0,16.0,0.0,5.0,35.0,0.0,0.53,0.54,0.91,0.58,0.51,0.58,0.141,0.141,0.141
Adam Larsson,0.0584,2015-07-25,23.0,0,1,0,0,1,3.0,1.0,0.0,21.0,2.0,6.0,0.42,0.52,0.47,0.41,0.53,0.5,0.033,0.033,0.033
Adam Larsson,0.013000000000000001,2014-07-01,22.0,0,0,0,0,1,1.0,0.0,2.0,2.0,6.0,16.0,0.52,0.47,0.53,0.53,0.5,0.53,0.05,0.05,0.05
Adam Lowry,0.039900000000000005,2021-04-16,28.0,1,1,1,0,0,10.0,3.0,12.0,14.0,6.0,10.0,0.39,0.39,0.43,0.43,0.41,0.44,0.1235,0.1235,0.1235
Adam Lowry,0.036699999999999997,2018-07-19,26.0,0,1,1,0,0,8.0,15.0,7.0,13.0,14.0,10.0,0.55,0.49,0.39,0.53,0.47,0.4,0.1143,0.1143,0.1143
Adam Lowry,0.0154,2016-07-14,24.0,0,0,1,0,0,7.0,11.0,0.0,10.0,12.0,0.0,0.39,0.52,0.0,0.4,0.54,0.0,0.0959,0.0959,0.0959
Adam Pelech,0.0213,2017-07-24,23.0,0,0,0,0,1,3.0,0.0,0.0,7.0,2.0,0.0,0.42,0.41,0.0,0.44,0.39,0.0,0.075,0.075,0.075
